embedding_model,target_dimension,top_k,prompt_strategy_type,f1,exact_match
all-MiniLM-L6-v2,384,1,CLEAR_INSTRUCTION,35.733475833491106,24.0
all-MiniLM-L6-v2,384,1,FEW_SHOTS,32.42009238719437,21.0
all-MiniLM-L6-v2,384,3,CLEAR_INSTRUCTION,35.60051789562247,23.0
all-MiniLM-L6-v2,384,3,FEW_SHOTS,34.455863556225275,23.0
all-MiniLM-L6-v2,384,5,CLEAR_INSTRUCTION,34.577053230930694,21.0
all-MiniLM-L6-v2,384,5,FEW_SHOTS,36.20055672149921,23.0
all-MiniLM-L6-v2,256,1,CLEAR_INSTRUCTION,36.63823773825302,25.0
all-MiniLM-L6-v2,256,1,FEW_SHOTS,32.524854291956274,21.0
all-MiniLM-L6-v2,256,3,CLEAR_INSTRUCTION,36.72517405966347,25.0
all-MiniLM-L6-v2,256,3,FEW_SHOTS,33.23234263270436,21.0
all-MiniLM-L6-v2,256,5,CLEAR_INSTRUCTION,32.90607921384682,20.0
all-MiniLM-L6-v2,256,5,FEW_SHOTS,37.33964739690568,25.0
