faithfulness,answer_relevancy,context_recall,context_precision,question_id
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
1.0,1.0,1.0,1.0,2
0.0,0.0,0.0,0.0,3
1.0,1.0,1.0,1.0,4
1.0,1.0,1.0,1.0,5
1.0,1.0,1.0,1.0,6
1.0,1.0,1.0,1.0,7
0.0,0.0,0.0,0.0,8
1.0,1.0,1.0,1.0,9
1.0,1.0,1.0,1.0,10
0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,12
0.0,0.0,0.0,0.0,13
0.0,0.0,0.0,0.0,14
1.0,1.0,1.0,1.0,15
0.0,0.0,0.0,0.0,16
0.5,0.0,0.5,0.0,17
1.0,1.0,1.0,1.0,18
0.0,0.0,0.0,0.0,19
1.0,1.0,1.0,1.0,20
1.0,1.0,1.0,1.0,21
1.0,1.0,1.0,1.0,22
1.0,1.0,1.0,1.0,23
1.0,1.0,1.0,1.0,24
1.0,1.0,1.0,1.0,25
1.0,1.0,1.0,1.0,26
0.0,0.0,0.0,0.0,27
1.0,1.0,1.0,1.0,28
1.0,0.0,1.0,1.0,29
0.0,0.0,0.0,0.0,30
1.0,1.0,1.0,1.0,31
1.0,1.0,1.0,1.0,32
0.0,0.0,0.0,0.0,33
1.0,1.0,1.0,1.0,34
1.0,1.0,1.0,1.0,35
0.5,0.5,1.0,0.0,36
0.0,0.0,0.0,0.0,37
0.0,0.0,0.0,0.0,38
1.0,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,40
0.0,0.0,0.0,0.0,41
0.0,0.0,0.0,0.0,42
0.0,0.0,0.0,0.0,43
1.0,1.0,1.0,1.0,44
0.0,0.0,0.0,0.0,45
0.0,0.0,0.0,0.0,46
1.0,1.0,1.0,1.0,47
0.0,0.0,0.0,0.0,48
1.0,1.0,1.0,1.0,49
1.0,1.0,1.0,1.0,50
1.0,1.0,1.0,1.0,51
1.0,1.0,1.0,1.0,52
1.0,1.0,1.0,1.0,53
0.0,0.0,0.0,0.0,54
1.0,1.0,1.0,1.0,55
1.0,0.0,1.0,0.0,56
1.0,1.0,1.0,1.0,57
0.0,0.0,0.0,0.0,58
1.0,1.0,1.0,1.0,59
1.0,1.0,1.0,1.0,60
1.0,1.0,1.0,1.0,61
0.0,0.0,0.0,0.0,62
1.0,1.0,1.0,1.0,63
1.0,1.0,1.0,1.0,64
0.5,0.5,1.0,1.0,65
1.0,0.0,1.0,1.0,66
1.0,1.0,1.0,1.0,67
1.0,1.0,1.0,1.0,68
1.0,1.0,1.0,1.0,69
1.0,1.0,1.0,1.0,70
0.0,0.0,0.0,0.0,71
1.0,1.0,1.0,1.0,72
0.5,1.0,1.0,1.0,73
0.0,0.0,0.0,0.0,74
0.0,0.0,0.0,0.0,75
1.0,1.0,1.0,1.0,76
1.0,1.0,1.0,1.0,77
1.0,1.0,1.0,1.0,78
1.0,1.0,1.0,1.0,79
0.0,0.0,0.0,0.0,80
0.0,0.0,0.0,0.0,81
0.0,0.0,0.0,0.0,82
0.0,0.0,0.0,0.0,83
0.0,0.0,0.0,0.0,84
0.0,0.0,0.0,0.0,85
0.0,0.0,0.0,0.0,86
1.0,1.0,1.0,1.0,87
1.0,1.0,1.0,1.0,88
1.0,1.0,1.0,1.0,89
0.0,0.0,0.0,0.0,90
1.0,1.0,1.0,1.0,91
0.5,0.0,1.0,1.0,92
0.5,1.0,1.0,1.0,93
0.0,0.0,0.0,0.0,94
0.0,0.0,0.0,0.0,95
1.0,1.0,1.0,1.0,96
1.0,1.0,1.0,1.0,97
0.0,0.0,0.0,0.0,98
0.0,0.0,0.0,0.0,99
